episode,total_reward,steps,success,collision
1,-1244.553446801423,200,False,False
2,-1218.1556477602182,200,False,False
3,-6104.700148562612,200,False,False
4,-1383.5601729253497,200,False,False
5,-842.5792786647341,200,False,False
6,-886.9645831559654,200,False,False
7,-838.528921795951,200,False,False
8,-1035.7166019623482,200,False,False
9,-1264.4733685522694,200,False,False
10,-1318.176373164805,200,False,False
11,-1073.7589301659327,200,False,False
12,-688.471965884253,200,False,False
13,-765.9250502277158,200,False,False
14,-1164.0151475696011,200,False,False
15,-752.4233937398703,200,False,False
16,-1104.1265704131765,200,False,False
17,-1349.0735471251285,200,False,False
18,-6804.734165549451,200,False,False
19,-4101.501742824623,200,False,False
20,-1196.1567931419597,200,False,False
