#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
-1291.888786,800,2.14555
-1740.938844,800,2.536392
-2714.227938,800,4.064791
-2389.117322,800,4.404024
-2935.030683,800,4.735919
-644.457434,800,6.161998
-1781.697305,800,6.489504
-1343.009614,800,7.96107
-611.517422,563,8.206483
-2239.367148,800,8.533238
-1980.440412,800,9.889062
-1497.710967,800,10.230861
-1885.648123,800,10.554423
-1594.894957,800,12.038675
-1516.348258,800,12.384928
-1426.302272,800,13.774867
-1011.116379,800,14.133299
-1705.653091,800,14.46869
-741.835147,800,15.881348
-530.213416,800,16.241784
-707.272214,800,18.025818
-325.69362,465,18.26276
-753.932921,800,18.677924
-389.402171,418,18.88025
-636.137422,800,20.375175
-975.868053,551,20.603169
-430.989577,387,20.770149
-132.551469,206,20.875775
-420.268341,800,22.692116
-621.116686,800,23.215775
-123.844431,173,23.328504
-1271.234928,800,25.098265
-552.556446,800,25.498018
-228.203491,264,25.612009
-528.687956,618,25.883082
-178.812391,288,27.182205
-161.438658,218,27.307859
-112.714034,179,27.385912
-418.378007,800,27.731302
-243.46526,292,27.927732
-674.807455,600,29.601287
-479.734999,800,30.382781
-715.818387,800,30.742733
-130.290864,197,30.831551
-203.881762,258,31.98771
-453.387232,530,32.229664
-491.694359,626,32.530208
-86.610875,122,32.581957
-114.599759,148,32.648105
-372.389617,435,34.022094
-88.997994,363,34.234095
-117.745701,148,34.302854
-815.892179,800,34.73281
-347.611629,800,36.274526
-112.214957,193,36.405583
-166.297144,664,36.743984
-86.516496,246,36.855056
-417.510333,620,37.178272
-76.342728,217,37.299906
-167.500547,291,38.728722
-579.789574,800,39.198113
-210.885606,286,39.334092
-131.34776,592,39.628999
-189.683556,173,40.841516
-64.832125,267,41.005969
-236.139982,719,41.383679
-96.338933,277,41.506372
-107.582228,317,41.639242
-18.678653,349,41.828186
-116.231289,399,43.178894
-174.603009,654,43.50415
-286.371587,790,43.868912
-10.858434,388,45.756981
-72.656398,800,46.270351
-16.359012,391,46.490198
-205.386352,544,46.813781
-147.424544,443,48.203722
-198.796046,513,48.450193
-227.26859,361,48.626024
-107.861264,238,48.736606
-187.92838,616,49.061127
-136.101237,433,50.39175
-158.306998,539,50.627764
-5.38803,467,50.845871
-4.017879,470,51.067832
-25.247625,306,52.328261
-275.12305,610,52.629902
-57.714168,486,52.895919
-241.644181,622,53.198339
-95.08106,268,54.462571
-58.894168,311,54.634495
-24.662179,371,54.811184
-53.409907,319,54.953962
-64.804921,274,55.082083
-118.108512,415,55.25906
76.64274,634,56.822356
-474.434122,800,57.239201
-361.851557,800,57.635549
-158.512453,357,58.98399
-258.830623,800,59.354009
-176.154876,800,59.717986
-19.786704,405,61.02219
-41.461739,468,61.259126
-113.509545,280,61.38871
-120.197395,342,61.534011
-58.978197,351,61.689351
-167.316903,800,63.19549
-34.4013,474,63.417898
-33.918907,431,63.62773
-232.232166,800,65.101586
-140.166707,504,65.3985
-419.473085,800,65.815377
-70.738347,383,66.022209
-470.873058,800,67.604318
-154.06171,441,67.844264
-471.342224,800,68.280496
-37.068056,407,69.774412
-571.263436,800,70.313763
-71.569297,386,70.525969
-529.520937,800,72.203025
-71.948816,422,72.430224
-152.420261,556,72.678606
-405.128867,800,73.032879
-67.419944,632,74.509948
-388.187206,800,74.976908
-47.929974,282,75.146448
-409.93448,691,76.873583
-78.864492,490,77.161767
-89.437543,731,77.569892
-62.224847,392,77.767926
-11.067826,460,79.478765
-255.989814,753,79.993106
-118.738151,800,80.489212
-111.342033,583,82.177799
-337.400128,755,82.587658
-29.79857,550,82.852433
-285.89228,622,84.284272
-275.561413,438,84.514591
-236.479525,800,84.883162
-31.546759,681,85.199744
-268.704032,800,86.837856
-243.401879,551,87.125251
-50.553853,457,87.331769
-148.841136,364,88.596409
-300.840397,800,88.996072
-124.783655,461,89.203762
-267.607919,800,91.028022
-134.134868,270,91.196775
-102.066869,800,91.76226
-347.530188,800,92.303705
-5.702417,453,93.9691
-65.536076,465,94.229507
-396.895162,800,94.695252
-441.147096,800,96.52651
-82.283023,800,96.954322
-117.852146,314,97.100252
-95.708665,476,97.341383
-72.943379,471,98.734956
-222.621418,706,99.062202
-20.966502,429,99.250337
-76.063768,800,100.812776
-107.584842,276,100.964333
-107.70358,800,101.373064
-191.829971,800,102.980366
-187.681516,800,103.410632
-139.19156,800,103.816757
